split,label,model_guess,confidence,line,source_file,line_no
train,,ssh_enabled:false,0.28,no sntp,aruba_central_5memberstack_rendered.cfg,20
train,,unclear,0.28,no cdp run,01-global-hardening.txt,7
eval,,telnet_enabled:false,0.31,no mop sysid,racc_csr1000v_iosxe169_bgp_ospf.txt,194
train,,password_encryption:type7,0.32,</service>,user_contrib_supergate_opn25.xml,3044
train,,password_encryption:type7,0.32,<password>$2y$11$fakeBcryptHashForApiUserExampleValueNotRealXXXXXXXX</password>,user_contrib_supergate_opn25.xml,114
eval,,telnet_enabled:true,0.32,set admin-telnet enable,user_contrib_fg100e_fos7213.conf,32
train,,password_encryption:type7,0.34,"set service ""plex""",user_contrib_fg100e_fos7213.conf,33341
train,,unclear,0.34,service active,batfish_ebgp_border01.txt,29
train,,ssh_enabled:true,0.35,set service-sla-tie-break input-device,kevinguenay_fgt_70g_branch.conf,9906
train,,password_encryption:none,0.35,encrypted-password $6$FAKEsnmpAUTHsha,kitchen_sink.conf,80
train,,telnet_enabled:true,0.35,set groups POC_Lab system services telnet,ksator_labmgmt_ex4550_junos151.set,18
eval,,unclear,0.35,set password ENC fakeEncodedSecretExampleValueNotRealXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX==,user_contrib_fg100e_fos7213.conf,2522
eval,,unclear,0.36,"set service ""Games""",user_contrib_fg100e_fos7213.conf,33272
train,,unclear,0.36,feature bash-shell,nautobot_gc_nxos_snmp_spine01_nxos933.txt,21
eval,,unclear,0.36,service call-home,config-sample.txt,11
train,,unclear,0.36,encrypted-password $6$FAKEsnmpPRIVaes,kitchen_sink.conf,84
train,,password_encryption:type7,0.36,"<input name=\""%%PASSWORDID%%\"" id=\""ft_pd\"" type=\""password\"" autocomplete=\""off\"">",user_contrib_fg100e_fos7213.conf,7774
train,,password_encryption:type7,0.37,"<input name=\""%%PASSWORDID%%\"" id=\""pd\"" type=\""password\"" autocomplete=\""off\"">",user_contrib_fg100e_fos7213.conf,8084
train,,password_encryption:type7,0.37,"set service ""PING""",kevinguenay_fgt_vm_hub.conf,13338
train,,unclear,0.37,no ipv6 cef,batfish_iosxe_basic_vrrp.txt,44
eval,,unclear,0.37,encrypted-password $6$QxPS.uk6mfo$9QBSo8u1FkH16gMyAVhus6fU3LOzvLR9Z9.82m3tiHFAxTtIkhaZSWssSgzt4v4dGAL8rhVQxTg0oAG9/q11h/,pc5-round1-border.conf,51
train,,password_encryption:type7,0.38,"set service ""7dtd""",user_contrib_fg100e_fos7213.conf,33558
train,,password_encryption:type7,0.38,"<service uuid=""8c762309-2bcb-4c24-ab9e-39b8895063c6"">",user_contrib_supergate_opn25.xml,3010
eval,,unclear,0.38,<password>$2y$11$fakeBcryptHashForRootUserExampleValueNotRealOOOOOOOO</password>,user_contrib_supergate_opn25.xml,74
train,,password_encryption:type7,0.39,"<service uuid=""4d726ece-5453-4b46-97a6-63241559e620"">",user_contrib_supergate_opn25.xml,3118
eval,,unclear,0.39,encrypted-password $6$a.9PeSKSRzbzoSQq$97/dbD1FfeBK1mS/B4Kw2spQh6aCH.5aKQqvwZgWdzu5AWNasb58O/sdEDS2YWg8PCeWw9HrooIIAltVz.VOK/,pc5-round3b-routera.conf,105
train,,unclear,0.39,no negotiation,ntc_carrier_interfaces.txt,66
train,,unclear,0.39,<pam_service>ipsec</pam_service>,user_contrib_supergate_opn25.xml,2218
