split,label,model_guess,confidence,line,source_file,line_no,auto
train,unclear,ssh_enabled:false,0.28,no sntp,aruba_central_5memberstack_rendered.cfg,20,default
train,unclear,unclear,0.28,no cdp run,01-global-hardening.txt,7,default
eval,unclear,telnet_enabled:false,0.31,no mop sysid,racc_csr1000v_iosxe169_bgp_ospf.txt,194,default
train,SKIP,password_encryption:type7,0.32,</service>,user_contrib_supergate_opn25.xml,3044,rule
train,unclear,password_encryption:type7,0.32,<password>$2y$11$fakeBcryptHashForApiUserExampleValueNotRealXXXXXXXX</password>,user_contrib_supergate_opn25.xml,114,rule
eval,telnet_enabled:true,telnet_enabled:true,0.32,set admin-telnet enable,user_contrib_fg100e_fos7213.conf,32,rule
train,unclear,password_encryption:type7,0.34,"set service ""plex""",user_contrib_fg100e_fos7213.conf,33341,default
train,unclear,unclear,0.34,service active,batfish_ebgp_border01.txt,29,default
train,unclear,ssh_enabled:true,0.35,set service-sla-tie-break input-device,kevinguenay_fgt_70g_branch.conf,9906,default
train,unclear,password_encryption:none,0.35,encrypted-password $6$FAKEsnmpAUTHsha,kitchen_sink.conf,80,rule
train,telnet_enabled:true,telnet_enabled:true,0.35,set groups POC_Lab system services telnet,ksator_labmgmt_ex4550_junos151.set,18,REVIEW
eval,unclear,unclear,0.35,set password ENC fakeEncodedSecretExampleValueNotRealXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX==,user_contrib_fg100e_fos7213.conf,2522,rule
eval,unclear,unclear,0.36,"set service ""Games""",user_contrib_fg100e_fos7213.conf,33272,default
train,unclear,unclear,0.36,feature bash-shell,nautobot_gc_nxos_snmp_spine01_nxos933.txt,21,default
eval,unclear,unclear,0.36,service call-home,config-sample.txt,11,default
train,unclear,unclear,0.36,encrypted-password $6$FAKEsnmpPRIVaes,kitchen_sink.conf,84,rule
train,unclear,password_encryption:type7,0.36,"<input name=\""%%PASSWORDID%%\"" id=\""ft_pd\"" type=\""password\"" autocomplete=\""off\"">",user_contrib_fg100e_fos7213.conf,7774,rule
train,unclear,password_encryption:type7,0.37,"<input name=\""%%PASSWORDID%%\"" id=\""pd\"" type=\""password\"" autocomplete=\""off\"">",user_contrib_fg100e_fos7213.conf,8084,rule
train,unclear,password_encryption:type7,0.37,"set service ""PING""",kevinguenay_fgt_vm_hub.conf,13338,default
train,unclear,unclear,0.37,no ipv6 cef,batfish_iosxe_basic_vrrp.txt,44,default
eval,unclear,unclear,0.37,encrypted-password $6$QxPS.uk6mfo$9QBSo8u1FkH16gMyAVhus6fU3LOzvLR9Z9.82m3tiHFAxTtIkhaZSWssSgzt4v4dGAL8rhVQxTg0oAG9/q11h/,pc5-round1-border.conf,51,rule
train,unclear,password_encryption:type7,0.38,"set service ""7dtd""",user_contrib_fg100e_fos7213.conf,33558,default
train,unclear,password_encryption:type7,0.38,"<service uuid=""8c762309-2bcb-4c24-ab9e-39b8895063c6"">",user_contrib_supergate_opn25.xml,3010,rule
eval,unclear,unclear,0.38,<password>$2y$11$fakeBcryptHashForRootUserExampleValueNotRealOOOOOOOO</password>,user_contrib_supergate_opn25.xml,74,rule
train,unclear,password_encryption:type7,0.39,"<service uuid=""4d726ece-5453-4b46-97a6-63241559e620"">",user_contrib_supergate_opn25.xml,3118,rule
eval,unclear,unclear,0.39,encrypted-password $6$a.9PeSKSRzbzoSQq$97/dbD1FfeBK1mS/B4Kw2spQh6aCH.5aKQqvwZgWdzu5AWNasb58O/sdEDS2YWg8PCeWw9HrooIIAltVz.VOK/,pc5-round3b-routera.conf,105,rule
train,unclear,unclear,0.39,no negotiation,ntc_carrier_interfaces.txt,66,default
train,unclear,unclear,0.39,<pam_service>ipsec</pam_service>,user_contrib_supergate_opn25.xml,2218,rule
eval,unclear,unclear,0.4,privilege level 15,batfish_iosxe_basic_vrrp.txt,142,default
train,unclear,ssh_enabled:false,0.4,set internet-service disable,user_contrib_fg100e_fos7213.conf,32336,default
train,unclear,password_encryption:type7,0.4,encrypted-password $6$km/6j4hX0Ayo$dk2z5LeUOayHopgLGZJII0whBMidnvsd4LfT6LcIcR9ReabX0kcXjZOlmmqDGWuo1FvpnV.X2IRl5NeEZpuI31,metasploit-vyos-config.conf,39,rule
train,unclear,password_encryption:type7,0.41,"set service ""IKE""",kevinguenay_fgt_70g_branch.conf,11911,default
train,unclear,unclear,0.41,encrypted-password $6$5BlhDtYATek1wNyq$VmV1kibxHoHdv5VZVOUuyflCF.CdfC0adJAi2TvJ2OnEyoVV6k6WPi9024/64IoNjfbrdHte1sO1xVw2xkawd0,pc5-round3b-routere.conf,186,rule
train,password_encryption:type5,password_encryption:none,0.41,username admin password 5 $5$fakeSALT$fakeHashExampleValue000000000000000000000,busterswt_spine_leaf_xk32_1_nxos9312.txt,112,rule
eval,unclear,unclear,0.42,encrypted-password $6$tv35FGLJH9f1q17P$YWNaT6RwH2xSXLQxYgXSzUAzQgEvUJ4Dx.zkPJa6YwVd5ZLAoKMq5s1f19iWdRWwSh5HxCSYzlqfJSLZ0LfUl0,pc5-round3b-routerb.conf,85,rule
train,unclear,unclear,0.42,no preempt,azsupport_TOR1_Sample.cfg,44,default
eval,unclear,unclear,0.42,set auth-mode-l1 password,user_contrib_fg100e_fos7213.conf,34674,rule
train,unclear,password_encryption:type7,0.42,encrypted-password $6$HUawQVmi4rZUmxsW$BEz2w5GZA7euBP5u43QN3B6vGXr0PsvtXkeMkSuy4ypATg7q0z5KMSgoQrbyXtz/hqglxEHmQpUH7iLLM36un/,pc5-round3b-routerd.conf,89,rule
eval,unclear,unclear,0.43,no autorun,aruba_central_5memberstack_rendered.cfg,155,default
train,unclear,unclear,0.43,Disable unnecessary services,01-global-hardening.txt,23,default
train,unclear,ssh_enabled:true,0.43,service-policy input 200M,racc_csr1000v_iosxe169_bgp_ospf.txt,160,default
eval,unclear,unclear,0.43,no mmi pvc,batfish_iosxe_basic_vrrp.txt,27,default
train,unclear,unclear,0.43,"edit ""ServiceMax-SSH""",kevinguenay_fgt_70g_branch.conf,4193,rule
train,unclear,unclear,0.43,set deviceconfig setting logging log-suppression no,iron_skillet_panos_full.conf,80,rule
eval,unclear,logging_enabled:false,0.43,no logging event port link-status,busterswt_spine_leaf_xk32_1_nxos9312.txt,292,rule
train,password_encryption:type5,password_encryption:none,0.44,username netops password 5 $5$KitchenSink$opshashvalue002 role network-operator,kitchen_sink.cfg,18,rule
train,SKIP,unclear,0.44,"DHCP server pools, RADIUS, local users, syslog, banner, BGP/OSPF.",kitchen_sink.xml,34,REVIEW
train,unclear,unclear,0.44,<password>$2b$10$fakeAJhashNetopsAccountPlaceholderObviouslySynthetic000</password>,kitchen_sink.xml,118,rule
eval,unclear,unclear,0.44,"set service ""ALL""",kevinguenay_fgt_70g_branch.conf,11821,default
train,unclear,unclear,0.44,dcbx enable,azlocal_tor1.txt,24,default
